"Username","bio","faculty","student","mza","other.sci","outreach","sci.assoc","media","applied","politician","unknown","public"
"@robrdunn","scientist science writer author of the wild life of our bodies every living thing http tco jqhlvn4v",0,0,0,1,0,0,1,0,0,0,0
"@matt_clough","founder of lbmlt zoologist shark fan lfc fan all view are my own",0,0,0,1,0,0,0,0,0,0,0
"@renatasmgomes","i dont believe in nothing i am a scientist there is always something as long as you know what to look for my own personal views london",0,0,0,1,0,0,0,0,0,0,0
"@my_carta","geophysicist digital cartographer vizualization researcher fan of python blogger space technology addict love meditation ashtanga yoga juggling",0,0,0,1,0,0,1,0,0,0,0
"@raisecapitalcom","the domain http tco fseuhovb65 is for sale will consider jv or partnership email bids at http tco fseuhovb65",0,0,0,0,0,0,0,0,0,0,1
"@oldgeezerradio","old geezer radio there was a time when people believed that with age came knowledge experience get involved non geezers always welcome",0,0,0,0,0,0,1,0,0,0,0
"@proudprimate1","a passionate naturalist ethology evolutionary biology skier a lover of tea based beverages university of exeter bath southampton phd student",0,1,0,0,0,0,0,0,0,0,0
"@sciencedecks","we love science science outreach playing card games so we mix them all in a laboratory blender out came http tco 6vtgkktnp4",0,0,0,0,0,0,0,0,0,0,1
"@ncstate_fer","news research job postings hot career tips for students alumni in the dept of forestry environmental resources at nc state gopack",0,0,0,0,0,1,0,0,0,0,0
"@lovnauticallfe","everything sun sky sea deep below conservation lifestyle mickenzie senior in high schoolfuture marine sciences",0,0,0,0,0,0,0,0,0,0,1
"@mydogisfunny","serenity family dogs ballet gardening science disney lefties",0,0,0,0,0,0,0,0,0,0,1
"@linusgeek","phd student cragenomica uabinfo http tco aufnoc1u7q author bioinformatics evolution plant genomics ngs antifa green",0,1,0,0,0,0,0,0,0,0,0
"@ptfreeman","ms bs from stanford university in earth systems passionate elephant conservationist photographer",0,0,0,0,0,0,1,0,0,0,0
"@yaninavkn","madre mujer amiga",0,0,0,0,0,0,0,0,0,0,1
"@oyunsanaa","loves to blue sky beautiful mountains clear water horse riding mongolia",0,0,0,0,0,0,0,0,0,0,1
